amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
346,received,19/00014/FUL-1-1,19/00014/FUL-1-1-1,,2020-12-13,local-authority-eng:IOW,2019-08-22,,/developer-agreement-transaction/local-authority-eng/IOW/19-00014-FUL-1-1-1
653,received,19/00120/FUL-1-1,19/00120/FUL-1-1-1,,2020-12-23,local-authority-eng:IOW,2019-06-19,,/developer-agreement-transaction/local-authority-eng/IOW/19-00120-FUL-1-1-1
768,received,19/00146/FUL-1-1,19/00146/FUL-1-1-1,,2020-12-23,local-authority-eng:IOW,2019-08-15,,/developer-agreement-transaction/local-authority-eng/IOW/19-00146-FUL-1-1-1
2421,received,19/00443/FUL-1-1,19/00443/FUL-1-1-1,,2021-03-02,local-authority-eng:IOW,2019-10-03,,/developer-agreement-transaction/local-authority-eng/IOW/19-00443-FUL-1-1-1
1028,received,19/00762/FUL-1-1,19/00762/FUL-1-1-1,,2020-12-17,local-authority-eng:IOW,2020-07-28,,/developer-agreement-transaction/local-authority-eng/IOW/19-00762-FUL-1-1-1
500,received,19/00811/FUL-1-1,19/00811/FUL-1-1-1,,2020-12-13,local-authority-eng:IOW,2019-10-14,,/developer-agreement-transaction/local-authority-eng/IOW/19-00811-FUL-1-1-1
1185,received,20/01342/FUL-1-1,20/01342/FUL-1-1-1,,2021-03-23,local-authority-eng:IOW,2020-10-14,,/developer-agreement-transaction/local-authority-eng/IOW/20-01342-FUL-1-1-1
1342,received,20/02235/FUL-1-1,20/02235/FUL-1-1-1,,2021-05-13,local-authority-eng:IOW,2021-05-06,,/developer-agreement-transaction/local-authority-eng/IOW/20-02235-FUL-1-1-1
172,received,P/00044/18-1-1,P/00044/18-1-1-1,,2020-12-24,local-authority-eng:IOW,2020-02-06,,/developer-agreement-transaction/local-authority-eng/IOW/P-00044-18-1-1-1
516,received,P/00053/18-1-1,P/00053/18-1-1-1,,2021-03-20,local-authority-eng:IOW,2019-10-02,,/developer-agreement-transaction/local-authority-eng/IOW/P-00053-18-1-1-1
8698.5,received,P/00053/18-1-2,P/00053/18-1-2-1,,2021-03-20,local-authority-eng:IOW,2020-06-23,,/developer-agreement-transaction/local-authority-eng/IOW/P-00053-18-1-2-1
5850,received,P/00053/18-1-2,P/00053/18-1-2-2,,2021-03-20,local-authority-eng:IOW,2021-02-21,,/developer-agreement-transaction/local-authority-eng/IOW/P-00053-18-1-2-2
5700,received,P/00053/18-1-2,P/00053/18-1-2-3,,2021-03-20,local-authority-eng:IOW,2021-02-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-00053-18-1-2-3
9366,received,P/00164/17-1-2,P/00164/17-1-2-1,,2021-04-12,local-authority-eng:IOW,2020-10-27,,/developer-agreement-transaction/local-authority-eng/IOW/P-00164-17-1-2-1
11000,received,P/00164/17-1-3,P/00164/17-1-3-1,,2021-04-12,local-authority-eng:IOW,2020-08-25,,/developer-agreement-transaction/local-authority-eng/IOW/P-00164-17-1-3-1
11000,allocated,P/00164/17-1-3,P/00164/17-1-3-2,,2021-04-12,local-authority-eng:IOW,2021-04-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-00164-17-1-3-2
749,received,P/00173/19-1-1,P/00173/19-1-1-1,,2021-02-17,local-authority-eng:IOW,2019-05-22,,/developer-agreement-transaction/local-authority-eng/IOW/P-00173-19-1-1-1
20000,received,P/00197/11-1-2,P/00197/11-1-2-1,,2020-12-30,local-authority-eng:IOW,2019-07-23,,/developer-agreement-transaction/local-authority-eng/IOW/P-00197-11-1-2-1
880,received,P/00219/18-1-1,P/00219/18-1-1-1,,2021-02-19,local-authority-eng:IOW,2021-02-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-00219-18-1-1-1
8550,received,P/00219/18-1-2,P/00219/18-1-2-1,,2021-02-19,local-authority-eng:IOW,2021-02-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-00219-18-1-2-1
653,received,P/00235/19-1-1,P/00235/19-1-1-1,,1900-01-01,local-authority-eng:IOW,2019-06-19,,/developer-agreement-transaction/local-authority-eng/IOW/P-00235-19-1-1-1
6122,received,P/00252/19-1-1,P/00252/19-1-1-1,,2021-03-20,local-authority-eng:IOW,2020-09-23,,/developer-agreement-transaction/local-authority-eng/IOW/P-00252-19-1-1-1
328,received,P/00321/19-1-1,P/00321/19-1-1-1,,2021-02-17,local-authority-eng:IOW,2019-04-29,,/developer-agreement-transaction/local-authority-eng/IOW/P-00321-19-1-1-1
172,received,P/00321/19-1-1,P/00321/19-1-1-2,,2021-02-17,local-authority-eng:IOW,2017-10-09,,/developer-agreement-transaction/local-authority-eng/IOW/P-00321-19-1-1-2
10677,received,P/00329/18-1-2,P/00329/18-1-2-1,,2021-02-17,local-authority-eng:IOW,2019-06-19,,/developer-agreement-transaction/local-authority-eng/IOW/P-00329-18-1-2-1
10000,received,P/00329/18-1-3,P/00329/18-1-3-1,,2021-02-17,local-authority-eng:IOW,2019-06-19,,/developer-agreement-transaction/local-authority-eng/IOW/P-00329-18-1-3-1
688,received,P/00419/17-1-1,P/00419/17-1-1-1,,2020-12-24,local-authority-eng:IOW,2020-04-17,,/developer-agreement-transaction/local-authority-eng/IOW/P-00419-17-1-1-1
1204,received,P/00457/15-1-1,P/00457/15-1-1-1,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-00457-15-1-1-1
1204,returned,P/00457/15-1-1,P/00457/15-1-1-2,,2021-02-17,local-authority-eng:IOW,2019-06-03,,/developer-agreement-transaction/local-authority-eng/IOW/P-00457-15-1-1-2
2996,received,P/00543/18-1-1,P/00543/18-1-1-1,,2021-02-19,local-authority-eng:IOW,2020-10-29,,/developer-agreement-transaction/local-authority-eng/IOW/P-00543-18-1-1-1
19200,received,P/00543/18-1-2,P/00543/18-1-2-1,,2021-02-19,local-authority-eng:IOW,2020-12-18,,/developer-agreement-transaction/local-authority-eng/IOW/P-00543-18-1-2-1
19503,received,P/00543/18-1-2,P/00543/18-1-2-2,,2021-02-19,local-authority-eng:IOW,2021-01-14,,/developer-agreement-transaction/local-authority-eng/IOW/P-00543-18-1-2-2
602316,received,P/00563/06-1-1,P/00563/06-1-1-1,,2009-01-08,local-authority-eng:IOW,2009-01-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-1-1
77723,received,P/00563/06-1-1,P/00563/06-1-1-2,,2020-12-30,local-authority-eng:IOW,2019-12-10,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-1-2
200000,allocated,P/00563/06-1-1,P/00563/06-1-1-3,,2020-12-30,local-authority-eng:IOW,2020-07-06,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-1-3
85000,received,P/00563/06-1-2,P/00563/06-1-2-2,,2009-01-08,local-authority-eng:IOW,2009-01-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-2-2
10000,received,P/00563/06-1-3,P/00563/06-1-3-3,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-3-3
250000,received,P/00563/06-1-4,P/00563/06-1-4-4,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-4-4
25000,received,P/00563/06-1-5,P/00563/06-1-5-6,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-5-6
35000,received,P/00563/06-1-6,P/00563/06-1-6-5,,2010-06-22,local-authority-eng:IOW,2010-06-22,,/developer-agreement-transaction/local-authority-eng/IOW/P-00563-06-1-6-5
10500,received,P/00601/18-1-1,P/00601/18-1-1-1,,2021-02-19,local-authority-eng:IOW,2021-01-19,,/developer-agreement-transaction/local-authority-eng/IOW/P-00601-18-1-1-1
35357.76,received,P/00633/17-2-1,P/00633/17-2-1-1,,2020-12-30,local-authority-eng:IOW,2020-01-22,,/developer-agreement-transaction/local-authority-eng/IOW/P-00633-17-2-1-1
749,received,P/00638/18-1-1,P/00638/18-1-1-1,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-00638-18-1-1-1
7500,received,P/00638/18-1-2,P/00638/18-1-2-1,,2020-12-30,local-authority-eng:IOW,2019-09-18,,/developer-agreement-transaction/local-authority-eng/IOW/P-00638-18-1-2-1
172,received,P/00712/17-1-1,P/00712/17-1-1-1,,2021-02-18,local-authority-eng:IOW,2019-08-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-00712-17-1-1-1
5000,received,P/00735/18-2-1,P/00735/18-2-1-1,,2021-02-19,local-authority-eng:IOW,2021-02-09,,/developer-agreement-transaction/local-authority-eng/IOW/P-00735-18-2-1-1
6700,received,P/00759/18-1-2,P/00759/18-1-2-1,,2020-12-23,local-authority-eng:IOW,2019-11-28,,/developer-agreement-transaction/local-authority-eng/IOW/P-00759-18-1-2-1
6700,received,P/00759/18-1-2,P/00759/18-1-2-2,,2020-12-23,local-authority-eng:IOW,2019-11-28,,/developer-agreement-transaction/local-authority-eng/IOW/P-00759-18-1-2-2
6900,received,P/00759/18-1-2,P/00759/18-1-2-3,,2020-12-23,local-authority-eng:IOW,2020-03-03,,/developer-agreement-transaction/local-authority-eng/IOW/P-00759-18-1-2-3
6750,received,P/00759/18-1-2,P/00759/18-1-2-4,,2021-03-20,local-authority-eng:IOW,2020-03-03,,/developer-agreement-transaction/local-authority-eng/IOW/P-00759-18-1-2-4
5970,received,P/00767/17-1-1,P/00767/17-1-1-1,,2021-03-20,local-authority-eng:IOW,2020-11-05,,/developer-agreement-transaction/local-authority-eng/IOW/P-00767-17-1-1-1
4650,received,P/00767/17-1-1,P/00767/17-1-1-2,,2021-03-20,local-authority-eng:IOW,2020-09-22,,/developer-agreement-transaction/local-authority-eng/IOW/P-00767-17-1-1-2
4875,received,P/00767/17-1-1,P/00767/17-1-1-3,,2021-03-20,local-authority-eng:IOW,2020-09-22,,/developer-agreement-transaction/local-authority-eng/IOW/P-00767-17-1-1-3
11699.25,received,P/00767/17-1-1,P/00767/17-1-1-4,,2021-05-13,local-authority-eng:IOW,2021-05-06,,/developer-agreement-transaction/local-authority-eng/IOW/P-00767-17-1-1-4
902,received,P/00795/18-1-1,P/00795/18-1-1-1,,2021-02-17,local-authority-eng:IOW,2019-05-03,,/developer-agreement-transaction/local-authority-eng/IOW/P-00795-18-1-1-1
5500,received,P/00798/17-1-1,P/00798/17-1-1-1,,2020-12-30,local-authority-eng:IOW,2019-12-13,,/developer-agreement-transaction/local-authority-eng/IOW/P-00798-17-1-1-1
10000,received,P/00798/17-1-3,P/00798/17-1-3-1,,2020-12-24,local-authority-eng:IOW,2019-12-10,,/developer-agreement-transaction/local-authority-eng/IOW/P-00798-17-1-3-1
5100,received,P/00893/17-1-1,P/00893/17-1-1-1,,1900-01-01,local-authority-eng:IOW,2019-05-21,,/developer-agreement-transaction/local-authority-eng/IOW/P-00893-17-1-1-1
487,received,P/00925/18-1-1,P/00925/18-1-1-1,,1900-01-01,local-authority-eng:IOW,2019-05-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-00925-18-1-1-1
250000,received,P/00944/12-1-1,P/00944/12-1-1-1,,2020-12-30,local-authority-eng:IOW,2019-09-30,,/developer-agreement-transaction/local-authority-eng/IOW/P-00944-12-1-1-1
637,received,P/00963/18-1-1,P/00963/18-1-1-1,,2021-02-18,local-authority-eng:IOW,2019-08-07,,/developer-agreement-transaction/local-authority-eng/IOW/P-00963-18-1-1-1
10350,received,P/00981/18-1-1,P/00981/18-1-1-1,,2021-02-09,local-authority-eng:IOW,2020-12-23,,/developer-agreement-transaction/local-authority-eng/IOW/P-00981-18-1-1-1
8250,received,P/00981/18-1-1,P/00981/18-1-1-2,,2021-02-09,local-authority-eng:IOW,2020-10-13,,/developer-agreement-transaction/local-authority-eng/IOW/P-00981-18-1-1-2
9750,received,P/00981/18-1-1,P/00981/18-1-1-3,,2021-02-09,local-authority-eng:IOW,2020-10-13,,/developer-agreement-transaction/local-authority-eng/IOW/P-00981-18-1-1-3
6930,received,P/00981/18-1-2,P/00981/18-1-2-1,,2021-02-09,local-authority-eng:IOW,2019-10-16,,/developer-agreement-transaction/local-authority-eng/IOW/P-00981-18-1-2-1
20000,received,P/01044/13-1-1,P/01044/13-1-1-1,,2021-03-20,local-authority-eng:IOW,2015-04-16,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-1
10000,received,P/01044/13-1-1,P/01044/13-1-1-2,,2021-03-20,local-authority-eng:IOW,2015-04-21,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-2
10000,received,P/01044/13-1-1,P/01044/13-1-1-3,,2021-03-20,local-authority-eng:IOW,2015-05-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-3
10000,received,P/01044/13-1-1,P/01044/13-1-1-4,,2021-03-20,local-authority-eng:IOW,2015-09-28,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-4
10000,received,P/01044/13-1-1,P/01044/13-1-1-5,,2021-03-20,local-authority-eng:IOW,2015-11-17,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-5
10000,received,P/01044/13-1-1,P/01044/13-1-1-6,,2021-03-20,local-authority-eng:IOW,2015-11-19,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-6
10000,received,P/01044/13-1-1,P/01044/13-1-1-7,,2021-03-20,local-authority-eng:IOW,2015-12-04,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-7
10000,received,P/01044/13-1-1,P/01044/13-1-1-8,,2021-03-20,local-authority-eng:IOW,2016-01-19,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-8
10000,received,P/01044/13-1-1,P/01044/13-1-1-9,,2021-03-20,local-authority-eng:IOW,2016-01-26,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-9
10000,received,P/01044/13-1-1,P/01044/13-1-1-10,,2021-03-20,local-authority-eng:IOW,2016-02-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-10
10000,received,P/01044/13-1-1,P/01044/13-1-1-11,,2021-03-20,local-authority-eng:IOW,2016-01-29,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-11
10000,received,P/01044/13-1-1,P/01044/13-1-1-12,,2021-03-20,local-authority-eng:IOW,2016-06-23,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-12
10000,received,P/01044/13-1-1,P/01044/13-1-1-13,,2021-03-20,local-authority-eng:IOW,2016-06-27,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-13
10000,received,P/01044/13-1-1,P/01044/13-1-1-14,,2021-03-20,local-authority-eng:IOW,2016-08-22,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-14
10000,received,P/01044/13-1-1,P/01044/13-1-1-15,,2021-03-20,local-authority-eng:IOW,2016-12-23,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-15
10000,received,P/01044/13-1-1,P/01044/13-1-1-16,,2021-03-20,local-authority-eng:IOW,2017-02-14,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-16
10000,received,P/01044/13-1-1,P/01044/13-1-1-17,,2021-03-20,local-authority-eng:IOW,2018-02-21,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-17
10000,received,P/01044/13-1-1,P/01044/13-1-1-18,,2021-03-20,local-authority-eng:IOW,2017-05-09,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-18
191600,allocated,P/01044/13-1-1,P/01044/13-1-1-19,,2021-04-20,local-authority-eng:IOW,2019-07-31,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-1-19
114343.5,received,P/01044/13-1-2,P/01044/13-1-2-3,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01044-13-1-2-3
172,received,P/01066/17-1-1,P/01066/17-1-1-1,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01066-17-1-1-1
172,returned,P/01066/17-1-1,P/01066/17-1-1-2,,2021-02-17,local-authority-eng:IOW,2020-03-03,,/developer-agreement-transaction/local-authority-eng/IOW/P-01066-17-1-1-2
4500,received,P/01185/17-1-1,P/01185/17-1-1-1,,2021-02-19,local-authority-eng:IOW,2020-12-15,,/developer-agreement-transaction/local-authority-eng/IOW/P-01185-17-1-1-1
172,received,P/01279/17-1-1,P/01279/17-1-1-1,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01279-17-1-1-1
8250,received,P/01279/17-1-2,P/01279/17-1-2-2,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01279-17-1-2-2
25000,received,P/01373/09-1-1,P/01373/09-1-1-1,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-1-1
60000,received,P/01373/09-1-1,P/01373/09-1-1-2,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-1-2
70000,received,P/01373/09-1-1,P/01373/09-1-1-3,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-1-3
15000,received,P/01373/09-1-1,P/01373/09-1-1-4,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-1-4
250000,received,P/01373/09-1-2,P/01373/09-1-2-5,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-2-5
750000,received,P/01373/09-1-2,P/01373/09-1-2-6,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-2-6
238326,received,P/01373/09-1-3,P/01373/09-1-3-7,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-3-7
1266876,received,P/01373/09-1-4,P/01373/09-1-4-8,,1900-01-01,local-authority-eng:IOW,2017-02-14,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-4-8
541000,received,P/01373/09-1-4,P/01373/09-1-4-9,,1900-01-01,local-authority-eng:IOW,2019-12-17,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-4-9
541000,received,P/01373/09-1-4,P/01373/09-1-4-10,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-4-10
50000,received,P/01373/09-1-6,P/01373/09-1-6-15,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-6-15
50000,received,P/01373/09-1-6,P/01373/09-1-6-16,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-6-16
50000,received,P/01373/09-1-6,P/01373/09-1-6-17,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-6-17
7500,received,P/01373/09-1-9,P/01373/09-1-9-22,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-9-22
7500,received,P/01373/09-1-9,P/01373/09-1-9-23,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-9-23
7500,received,P/01373/09-1-9,P/01373/09-1-9-24,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-9-24
12500,received,P/01373/09-1-10,P/01373/09-1-10-25,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-10-25
2500,received,P/01373/09-1-10,P/01373/09-1-10-26,,2012-01-12,local-authority-eng:IOW,2012-01-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-10-26
7500,received,P/01373/09-1-10,P/01373/09-1-10-27,,2013-01-12,local-authority-eng:IOW,2013-01-12,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-10-27
500,received,P/01373/09-1-11,P/01373/09-1-11-40,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-40
500,received,P/01373/09-1-11,P/01373/09-1-11-41,,2012-09-08,local-authority-eng:IOW,2012-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-41
500,received,P/01373/09-1-11,P/01373/09-1-11-42,,2013-09-08,local-authority-eng:IOW,2013-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-42
500,received,P/01373/09-1-11,P/01373/09-1-11-43,,2014-09-08,local-authority-eng:IOW,2014-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-43
500,received,P/01373/09-1-11,P/01373/09-1-11-44,,2015-09-08,local-authority-eng:IOW,2015-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-44
500,received,P/01373/09-1-11,P/01373/09-1-11-45,,2016-09-08,local-authority-eng:IOW,2016-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-45
500,received,P/01373/09-1-11,P/01373/09-1-11-46,,2017-09-08,local-authority-eng:IOW,2017-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-46
500,received,P/01373/09-1-11,P/01373/09-1-11-47,,2018-09-08,local-authority-eng:IOW,2018-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-47
500,received,P/01373/09-1-11,P/01373/09-1-11-48,,2019-09-08,local-authority-eng:IOW,2019-09-08,,/developer-agreement-transaction/local-authority-eng/IOW/P-01373-09-1-11-48
4200,received,P/01423/17-1-2,P/01423/17-1-2-1,,2020-12-30,local-authority-eng:IOW,2020-02-04,,/developer-agreement-transaction/local-authority-eng/IOW/P-01423-17-1-2-1
172,received,P/01564/17-1-1,P/01564/17-1-1-1,,2021-02-17,local-authority-eng:IOW,2019-04-09,,/developer-agreement-transaction/local-authority-eng/IOW/P-01564-17-1-1-1
150000,received,P/01700/07-1-1,P/01700/07-1-1-3,,2009-07-31,local-authority-eng:IOW,2009-07-31,,/developer-agreement-transaction/local-authority-eng/IOW/P-01700-07-1-1-3
150000,allocated,P/01700/07-1-1,P/01700/07-1-1-4,,2021-04-20,local-authority-eng:IOW,2019-07-31,,/developer-agreement-transaction/local-authority-eng/IOW/P-01700-07-1-1-4
4060,received,P/01700/07-1-2,P/01700/07-1-2-1,,2009-07-31,local-authority-eng:IOW,2009-07-31,,/developer-agreement-transaction/local-authority-eng/IOW/P-01700-07-1-2-1
10500,received,P/01700/07-1-3,P/01700/07-1-3-2,,2009-07-31,local-authority-eng:IOW,2009-07-31,,/developer-agreement-transaction/local-authority-eng/IOW/P-01700-07-1-3-2
7000,received,P/01836/11-1-1,P/01836/11-1-1-1,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01836-11-1-1-1
7000,received,P/01836/11-1-1,P/01836/11-1-1-2,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01836-11-1-1-2
7000,received,P/01836/11-1-1,P/01836/11-1-1-3,,1900-01-01,local-authority-eng:IOW,1900-01-01,,/developer-agreement-transaction/local-authority-eng/IOW/P-01836-11-1-1-3
21000,allocated,P/01836/11-1-1,P/01836/11-1-1-4,,2021-04-20,local-authority-eng:IOW,2019-07-31,,/developer-agreement-transaction/local-authority-eng/IOW/P-01836-11-1-1-4
